"Item Name";"Region";"Lore";"DescriptionLore";"ImageURL"
"Perplexity";"Ionia";"Whispers say it's tied to a forgotten Ionian spirit, capable of disrupting the minds of even the most disciplined monks.";"While holding this rod, you can use a bonus action to target one creature within 30 feet. The target must succeed on a DC 17 Wisdom saving throw or become bewildered. While bewildered, the creature has disadvantage on attack rolls, ability checks, and saving throws, and another creature has advantage on attack rolls against it. At the end of each of its turns, the target can repeat the saving throw, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to this rod's effect for the next 24 hours.";"https://wiki.leagueoflegends.com/en-us/images/Spellbinder_item.png"
"Sword of Blossoming Dawn";"Ionia";"Crafted by a forgotten Ionian order, it resonates with the Spirit Blossom Festival, amplifying spiritual connections and ancestral echoes.";"This longsword deals an extra 1d6 radiant damage to undead and fiends. While attuned to this weapon, you can cast the 'speak with dead' spell once per day without using a spell slot. Additionally, you have advantage on Wisdom (Insight) checks when interacting with spirits or creatures from the Feywild.";"https://wiki.leagueoflegends.com/en-us/images/Sword_of_Blossoming_Dawn_item.png"
"Wooglet's Witchcap";"Ionia";"Favored by Ionian mages, rumored to enhance natural magic. Some believe it once belonged to a powerful spirit.";"While wearing this hat, you gain a +2 bonus to spell attack rolls and spell save DC. Additionally, once per day, when you cast a spell of 3rd level or lower, you can cast it as if using a spell slot one level higher.";"https://wiki.leagueoflegends.com/en-us/images/Wooglet%27s_Witchcap_item.png"
"Abyssal Scepter";"Freljord";"Said to resonate with the raw magic of the Freljord, amplifying the wielder's power and weakening magical defenses.";"This scepter has 7 charges. While holding it, you can use an action to expend 1 or more charges to create a 20-foot-radius sphere centered on a point you can see within 60 feet. Each creature in that area has disadvantage on saving throws against spells you cast. This effect lasts for 1 minute or until you lose concentration (as if concentrating on a spell). The DC to maintain concentration is 10, and for each charge you maintain concentration beyond the first round, the DC increases by 2. The scepter regains 1d6+1 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the scepter crumbles into dust and is destroyed.";"https://wiki.leagueoflegends.com/en-us/images/Abyssal_Scepter_item.png"
"Aegis of the Legion";"Demacia";"Symbol of the Dauntless Vanguard, it bolsters nearby allies. Bearer is emboldened by a golden glow and gains unnatural resilience.";"While holding this shield, you and friendly creatures within 10 feet of you gain a +1 bonus to AC and saving throws. This bonus increases to +2 at level 10 and +3 at level 15. Additionally, as a reaction when a friendly creature within 30 feet of you is hit by an attack, you can grant that creature resistance to the damage dealt by the attack. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Aegis_of_the_Legion_item.png"
"Ancient Coin";"Shurima";"Likely originated in Shurima, where currency was tied to celestial favor and desert survival.";"This coin, likely originating from Shurima, feels warm to the touch and depicts imagery of the sun and desert. As an action, you can flip the coin. On a heads, for the next minute, you have advantage on saving throws against being charmed or frightened. On a tails, you can summon enough water to fill a single waterskin. Once the coin is flipped, it cannot be flipped again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Ancient_Coin_item.png"
"Arcane Helix";"Ionia";"The Arcane Helix hums with Ionian spirit magic, resonating with the land's ancient energies and possibly influencing spirit blossom festivals.";"This intricate helix pulses with arcane energy, resonating with the wild magic of the Feywild. While holding the helix, you gain advantage on Intelligence (Arcana) checks related to the Feywild or spirits. As an action, you can expend 1 charge to cast the 'faerie fire' spell (save DC 15). The helix has 3 charges and regains 1d3 expended charges daily at dawn.";"https://wiki.leagueoflegends.com/en-us/images/Arcane_Helix_item.png"
"Archangel's Staff";"Ionia";"Favored by Ionian monks seeking enlightenment, the staff amplifies inner energies. It is rumored to resonate with the spirit realm.";"This staff, crafted from a light, resonant wood, seems to hum with spiritual energy. While holding this staff, you gain a +2 bonus to spell attack rolls and spell save DCs. Additionally, once per long rest, when you cast a spell of 1st level or higher, you can regain a number of hit points equal to the spell's level.";"https://wiki.leagueoflegends.com/en-us/images/Archangel%27s_Staff_%28Quick_Charge%29_item.png"
"Athene's Unholy Grail";"Targon";"Said to be blessed by the celestial Aspect of Magic, granting its wielder immense magical power and spiritual insight.";"While holding this unholy grail, you gain a +3 bonus to spell attack rolls and spell save DC. Additionally, when you cast a spell of 1st level or higher that restores hit points to a creature, you regain a number of hit points equal to half the spell's level + your spellcasting ability modifier.";"https://wiki.leagueoflegends.com/en-us/images/Athene%27s_Unholy_Grail_item.png"
"Augment: Death";"Noxus";"Associated with the Black Rose, granting its user immense power, but at a terrible cost. Could be related to forbidden hemomancy rituals.";"When you cast a necromancy spell of 1st level or higher, roll a d6. On a 1, you take necrotic damage equal to the spell's level. Otherwise, the spell's damage or healing is increased by 2 for each of its dice and the range of the spell is doubled. This augment functions once per long rest.";"https://wiki.leagueoflegends.com/en-us/images/Augment-_Death_item.png"
"Augment: Power";"Targon";"Potentially created by a forgotten aspect of Targon, granting immense arcane power. It's linked to celestial beings enhancing mortals.";"This celestial augment grants you advantage on Intelligence (Arcana) checks. As an action, you can expend a spell slot to gain a number of arcane power dice (d4s) equal to the spell slot's level +1. For the next minute, once per turn, you can add one of these dice to an attack roll, saving throw, or ability check. Any unused dice are lost when the minute ends.";"https://wiki.leagueoflegends.com/en-us/images/Augment-_Power_item.png"
"Bag of Tea";"Ionia";"Associated with Ionian monasteries, used for meditation and healing rituals. Perhaps a connection to the Kinkou Order or the Wuju Style.";"This bag contains rare Ionian tea leaves, imbued with subtle healing properties. As an action, you can brew a cup of tea and drink it. Doing so restores 2d4 hit points and grants advantage on Wisdom saving throws for 1 hour. The bag contains enough tea for 5 uses.";"https://wiki.leagueoflegends.com/en-us/images/Bag_of_Tea_item.png"
"Bilgewater Cutlass";"Bilgewater";"A common sidearm in Bilgewater, often enchanted for extra punch. Used by bounty hunters and gang members alike.";"This cutlass, common in Bilgewater, is a magic weapon that grants a +1 bonus to attack and damage rolls. When you hit a creature with this weapon, you can expend one of its charges to deal an extra 2d6 necrotic damage. The cutlass has 3 charges and regains 1d3 expended charges daily at dawn.";"https://wiki.leagueoflegends.com/en-us/images/Bilgewater_Cutlass_item.png"
"Blink Dagger";"Ionia";"Favored by Ionian monks and assassins, the Blink Dagger is rumored to be crafted with magic allowing for short-range teleportation.";"As an action, you can activate this dagger to teleport up to 30 feet to an unoccupied space you can see. The dagger can be used in this way three times, and regains all expended uses at dawn. If you are wearing light or no armor, the range of the teleport increases to 60 feet.";"https://wiki.leagueoflegends.com/en-us/images/Blink_Dagger_item.png"
"Bloodward";"Noxus";"Forged in Noxus, rumored to contain blood magic, grants the wielder a shield based on damage dealt; possibly connected to Vladimir.";"While holding this shield, you gain a +2 bonus to AC. Whenever you deal damage to a creature with a melee attack, you gain temporary hit points equal to the damage dealt, up to a maximum of 15. These temporary hit points last for 1 minute. Once the shield grants temporary hit points, it can't do so again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Bloodward_item.png"
"Bonetooth Necklace";"Noxus";"Favored by assassins. The necklace is rumored to contain the souls of those Rengar has hunted. Thus, it's influence waxes and wanes with each kill.";"This necklace has 3 charges and regains 1d3 expended charges daily at dawn. When you reduce a creature to 0 hit points with an attack, you can expend 1 charge to gain one of the following benefits: Advantage on your next attack roll against a creature, Resistance to one damage type until the end of your next turn, or increase your speed by 10 feet until the end of your next turn.";"https://wiki.leagueoflegends.com/en-us/images/Rengar_Bonetooth_Necklace_old.png"
"Boots of Speed";"Ionia";"Simple footwear, common across Runeterra. But in Ionia, some believe even the road you walk shapes your destiny.";"While wearing these boots, your walking speed increases by 5 feet. Additionally, you have advantage on Dexterity saving throws against effects that would reduce your speed.";"https://wiki.leagueoflegends.com/en-us/images/Boots_of_Speed_item.png"
"Breathstealer";"Noxus";"Likely crafted by a Hemomancer in Noxus, perhaps to sustain their power in combat, or to drain power from the enemies in order to grant it to its wielder.";"Weapon (any), very rare (requires attunement). While wielding this weapon, you can use a bonus action to target one creature within 30 feet. The target must succeed on a DC 15 Constitution saving throw or take 2d6 necrotic damage, and you regain hit points equal to the necrotic damage dealt. You can use this ability a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Breathstealer_item.png"
"Bulwark of the Mountain";"Targon";"Forged on Targon, it is said to protect against celestial wrath, favored by the Solari for its protective properties.";"Shield, very rare (requires attunement). While holding this shield, you have resistance to radiant damage and your AC increases by 2. As a reaction when you or a creature within 30 feet of you is targeted by a spell or effect that deals radiant damage, you can grant advantage on the saving throw against that effect.";"https://wiki.leagueoflegends.com/en-us/images/Bulwark_of_the_Mountain_item.png"
"Captain";"Bilgewater";"Favored by ambitious captains, this trinket whispers promises of swift voyages and plunder from distant shores.";"Wondrous item, rare (requires attunement). While attuned to this trinket, you have advantage on Wisdom (Survival) checks made to navigate at sea. Additionally, you can cast the spell 'Control Water' once per day. When you cast Control Water using this item, you can only choose to create a whirlpool or part the sea. You regain the ability to cast Control Water in this way at dawn.";"https://wiki.leagueoflegends.com/en-us/images/Captain_item.png"
"Ceaseless Hunger";"Noxus";"Associated with the Crimson Circle, a secret society within Noxus known for their hemomancy and blood rituals.";"While attuned to this weapon, whenever you reduce a creature to 0 hit points with it, you gain temporary hit points equal to your level. Additionally, you can cast the *Vampiric Touch* spell at 3rd level once per long rest without requiring material components. The weapon deals an extra 1d6 necrotic damage on a hit if you are below half your maximum hit points.";"https://wiki.leagueoflegends.com/en-us/images/Ceaseless_Hunger_item.png"
"Certainty";"Ionia";"Crafted by Ionian monks seeking inner peace, it's rumored to be associated with the spirit realm and moments of perfect clarity.";"This item grants advantage on Wisdom (Insight) checks and Intelligence (Investigation) checks. Once per long rest, as an action, you can enter a meditative state for 1 minute. During this time, you gain truesight out to a range of 30 feet and resistance to psychic damage. Maintaining this state requires concentration, as if concentrating on a spell.";"https://wiki.leagueoflegends.com/en-us/images/Certainty_item.png"
"Chalice of Harmony";"Targon";"Forged atop Mount Targon, it resonates with celestial energies, offering solace and balance to its wielder, reminiscent of the Aspect of Harmony.";"While holding this chalice, you have advantage on saving throws against being charmed or frightened. As an action, you can pour liquid into the chalice and imbue it with celestial energy. The next creature to drink the liquid gains the benefit of a *Greater Restoration* spell. Once used, this property of the chalice cannot be used again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Chalice_of_Harmony_item.png"
"Cinderhulk";"Noxus";"Forged in the heart of Noxus, rumored to be quenched in the blood of conquered foes, it imbues its wearer with burning strength.";"While wearing this armor, you have resistance to fire damage. As an action, you can unleash a wave of heat in a 15-foot cone. Each creature in that area must make a DC 15 Constitution saving throw, taking 4d6 fire damage on a failed save, or half as much damage on a successful one. Once you use this ability, you can't use it again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Juggernaut_item.png"
"Cloak and Dagger";"Ionia";"Whispers say a master Ionian shadow dancer crafted these. Some link it to the conflicts surrounding the Kinkou Order.";"While wearing the cloak, you have advantage on Dexterity (Stealth) checks made in dim light or darkness. The dagger is a +1 weapon. As a bonus action, you can teleport to an unoccupied space within 30 feet, leaving behind a shadowy image of yourself that lasts until the start of your next turn. Once you use this ability, you cannot do so again until you complete a short or long rest.";"https://wiki.leagueoflegends.com/en-us/images/Cloak_and_Dagger_item.png"
"Corrupting Potion";"Noxus";"Favored by Noxian assassins and those who delve into forbidden alchemy, it grants the drinker a temporary edge at a terrible price.";"When you drink this potion, you regain 2d4+2 hit points, and you gain advantage on your next attack roll or saving throw within the next minute. For the next hour, you have disadvantage on Constitution saving throws and your maximum hit points are reduced by 5.";"https://wiki.leagueoflegends.com/en-us/images/Corrupting_Potion_item.png"
"Cry of the Shrieking City";"Shurima";"Whispers suggest the city's fall was due to a powerful Void incursion, leaving behind only echoes and this unsettling artifact.";"This ancient Shuriman artifact hums with suppressed Void energy. While holding it, you can use an action to unleash a piercing shriek, forcing each creature within 30 feet to make a DC 15 Wisdom saving throw or be frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Once used, this property cannot be used again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Cry_of_the_Shrieking_City_item.png"
"Dark Matter Scythe";"Shadow Isles";"Crafted with dark magic in the Shadow Isles, it is said to corrupt the wielder, drawing power from the souls of the dead.";"This scythe pulses with necrotic energy, its touch chilling and corrupting. You gain a +2 bonus to attack and damage rolls made with this magic weapon. When you reduce a creature to 0 hit points with this scythe, you gain temporary hit points equal to the creature's challenge rating (minimum of 1) for 1 minute. While you possess temporary hit points granted by this weapon, your alignment shifts one step closer to Chaotic Evil. This shift is subtle but cumulative; prolonged use may result in permanent alignment change at the DM's discretion.";"https://wiki.leagueoflegends.com/en-us/images/Dark_Matter_Scythe_item.png"
"Daybreak";"Targon";"Forged in the light of Targon, rumored to be connected to the Solari and their eternal conflict against the Lunari.";"This radiant longsword is a symbol of the Solari, forged in the heart of Mount Targon. You gain a +3 bonus to attack and damage rolls made with this magic weapon. When you hit an undead or fiend with it, that creature takes an extra 2d8 radiant damage. As an action, you can cause the blade to emit bright light in a 30-foot radius and dim light for an additional 30 feet for 1 minute. Undead and fiends have disadvantage on attack rolls while in the bright light. Once this property is used, it cannot be used again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Daybreak_item.png"
"Dervish Blade";"Ionia";"Favored by Ionian duelists, its whirling blades are said to channel the spirits of past masters, enhancing agility and precision.";"This elegant scimitar, a favored weapon of Ionian duelists, grants a +2 bonus to attack and damage rolls. While wielding this blade, you gain advantage on Dexterity (Acrobatics) checks and Dexterity saving throws. In addition, once per turn when you hit a creature with this weapon, you can move up to half your speed without provoking opportunity attacks.";"https://wiki.leagueoflegends.com/en-us/images/Dervish_Blade_item.png"
"Distortion";"Ionia";"This item seems to be associated with Ionian monks who are known for their movement techniques and spiritual attunement.";"This amulet, attuned to Ionian spiritual practices, allows you to cast the Misty Step spell at will. Additionally, as a bonus action, you can expend a charge (of which the amulet has 3, regaining all expended charges daily at dawn) to become invisible until the end of your next turn. While invisible in this way, your movement speed increases by 10 feet.";"https://wiki.leagueoflegends.com/en-us/images/Distortion_item.png"
"Doran's Lost Idol";"Ionia";"Said to be crafted by a wandering monk, seeking enlightenment, for disciples of his order. Perhaps connected to a forgotten spirit.";"This intricately carved wooden idol, once held by a wandering monk, grants you advantage on Wisdom saving throws against being charmed or frightened. Additionally, once per day, when you use your action to meditate with the idol for at least 1 minute, you regain 2d6 hit points.";"https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Lost_Idol_item.png"
"Doran's Lost Shield";"Freljord";"Crafted from lost Freljordian ice magic, the shield whispers forgotten tales of the fallen Iceborn.";"While holding this shield, you have resistance to cold damage. Additionally, as a reaction when you take cold damage, you can choose to empower the shield with the absorbed energy. The shield gains 1 charge, up to a maximum of 3 charges. As an action, you can expend 1 or more charges to unleash a wave of frozen energy in a 15-foot cone. Each creature in the cone must make a DC 15 Constitution saving throw, taking 2d6 cold damage per charge spent on a failed save, or half as much damage on a successful one. Creatures that fail the save also have their speed reduced by 10 feet until the end of their next turn.";"https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Lost_Shield_item.png"
"Dreamshatter";"Targon";"Forged by celestial artisans on Mount Targon, rumored to shatter nightmares and grant clarity in the face of oblivion.";"This +3 longsword glows faintly when within 30 feet of a creature that is dreaming, whether naturally or magically. While wielding Dreamshatter, you have advantage on saving throws against being charmed or frightened. As an action, you can plunge Dreamshatter into the ground, creating a 30-foot radius sphere centered on you. For the next minute, all creatures within the sphere have advantage on saving throws against nightmares and effects that would cause them to have disadvantage on Wisdom saving throws.";"https://wiki.leagueoflegends.com/en-us/images/Dreamshatter_item.png"
"Eleisa's Miracle";"Demacia";"Named after Eleisa, a Demacian healer known for her compassion. Possibly associated with the Lightbringers, a monastic order devoted to healing.";"This holy symbol can be used as a spellcasting focus for cleric and paladin spells. You gain a +2 bonus to spell attack rolls and the saving throw DC of your cleric and paladin spells while using this item as a focus. Once per day, when a creature within 30 feet of you drops to 0 hit points, you can use your reaction to cause them to regain 1d8 hit points. If this restores them to at least 1 hit point, they also gain advantage on the next saving throw they make before the end of their next turn.";"https://wiki.leagueoflegends.com/en-us/images/Eleisa%27s_Miracle_item.png"
"Elixir of Brilliance";"Demacia";"Potent brew favored by Demacian artificers enhancing innovation, now outlawed due to volatile side effects.";"When you drink this elixir, roll a d4. For the next hour, you gain a bonus to Intelligence checks and saving throws equal to the number rolled. Additionally, at the end of that hour, you must succeed on a DC 15 Constitution saving throw or suffer one level of exhaustion.";"https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Brilliance_item.png"
"Elixir of Ruin";"Noxus";"Potent brew favored by Noxian siege engineers and demolitionists, known for its volatile enhancement of destructive capabilities.";"When you drink this elixir, your destructive capabilities are amplified. For the next minute, your attacks deal an extra 2d6 force damage to objects and structures. Additionally, any critical hit you score against an object or structure causes a localized explosion. All creatures within 10 feet of the target must succeed on a DC 15 Dexterity saving throw or take 3d6 fire damage, or half as much on a success.";"https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Ruin_item.png"
"Emblem of Valor";"Demacia";"Forged in Demacia, the Emblem of Valor is often used by soldiers needing to prove their loyalty and bravery to their leaders.";"While you wear this emblem, you have advantage on saving throws against being frightened. Additionally, as a bonus action, you can present the emblem and steel your resolve. Until the end of your next turn, you gain temporary hit points equal to your level + your Charisma modifier (minimum of 1), and attack rolls against you have disadvantage.";"https://wiki.leagueoflegends.com/en-us/images/Emblem_of_Valor_item.png"
"Enmity of the Masses";"Noxus";"Forged in the heart of Noxus, this item might have been used by a brutal warlord to suppress rebellions or enforce conscription.";"While you possess this item, you have advantage on Charisma (Intimidation) checks made against creatures that have an Intelligence score of 8 or lower. In addition, you can cast the spell 'Cause Fear' once per day without expending a spell slot. When you reach 5th level, you can also cast 'Fear' once per day. When you reach 9th level you can cast 'Mass Suggestion' once per week. Charisma is your spellcasting ability for these spells.";"https://wiki.leagueoflegends.com/en-us/images/Enmity_of_the_Masses_item.png"
"Entropy Field";"Noxus";"The Entropy Field hums with the chaotic energy of the Crimson Circle, possibly used in their brutal arena rituals. It shifts the very fabric of reality around it.";"This item radiates an aura of chaotic energy in a 30-foot radius. At the start of each of your turns, roll a d4. On a 1, all creatures within the aura have their movement speed halved until the start of your next turn. On a 2, all spells of 3rd level or lower cast within the aura have their range doubled. On a 3, all attack rolls within the aura are made with advantage. On a 4, all saving throws within the aura are made with disadvantage. This field can be suppressed for 1 minute as an action.";"https://wiki.leagueoflegends.com/en-us/images/Entropy_Field_item.png"
"Espresso Snax";"Demacia";"Favored by Demacian sentries on long patrols, Espresso Snax are rumored to be baked with enchanted coffee beans from distant lands.";"Upon consuming an Espresso Snax as an action, you regain 1d4 hit points and gain advantage on Wisdom saving throws against exhaustion for the next 4 hours. Additionally, you do not suffer the effects of exhaustion for 1 hour.";"https://wiki.leagueoflegends.com/en-us/images/Espresso_Snax_item.png"
"Evenshroud";"Noxus";"Favored by lower-ranking officers in Noxus, the Evenshroud is thought to provide protection and is associated with the Black Rose.";"While wearing this armor, as a reaction when you or a creature within 30 feet of you is hit by an attack, you can grant all allies within 30 feet of you a +2 bonus to AC against that attack. You can use this reaction a number of times equal to your proficiency bonus, and regain all expended uses when you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Evenshroud_item.png"
"Evolution: Gravity Storm";"Targon";"The storm seems to call out to the stars, perhaps created by an aspect of the celestial realm.";"You can cast the spell 'Reverse Gravity' once per day. When you cast it this way, the spell's duration is concentration, up to 1 minute. Additionally, when you cast a spell that deals lightning or thunder damage, you can change the damage type to force damage.";"https://wiki.leagueoflegends.com/en-us/images/Augment-_Gravity_item.png"
"Explorer's Ward";"Demacia";"Favored by Demacian scouts, allowing them to safely navigate uncharted regions and provide early warnings against potential threats.";"While holding this ward, you have advantage on Wisdom (Survival) checks made to navigate or avoid becoming lost. As an action, you can plant the ward in the ground; it becomes invisible and sheds dim light in a 5-foot radius. Any creature that moves within 5 feet of the ward triggers an alarm, alerting you with a mental ping within a mile if you are on the same plane of existence. The ward lasts for 24 hours or until dispelled.";"https://wiki.leagueoflegends.com/en-us/images/Explorer%27s_Ward_item.png"
"Eye of Frost";"Freljord";"An ancient relic from the Frozen Watchers, radiating intense cold and magical power, with possible connections to Lissandra.";"This ancient relic of the Frozen Watchers radiates palpable cold. While holding the Eye of Frost, you are immune to cold damage. As an action, you can unleash a cone of frost extending 60 feet. Each creature in that area must make a DC 18 Constitution saving throw, taking 8d8 cold damage on a failed save, or half as much damage on a successful one. A creature killed by this effect is frozen solid. Once this ability is used, it cannot be used again until the next dawn. The eye is rumored to have connections to Lissandra, and prolonged exposure may reveal secrets of forgotten ice magic at the DM's discretion.";"https://wiki.leagueoflegends.com/en-us/images/Eye_of_Frost_item.png"
"Eye of the Aspect";"Targon";"Linked to the ancient Aspects of Targon, granting sight and protection. Possibly connected to champions like Taric or Leona.";"This gem pulses with celestial energy, a fragment of the power of the Aspects of Targon. While holding the Eye of the Aspect, you gain a +3 bonus to AC and saving throws. Additionally, you can cast the Shield spell (3rd-level version) as a reaction without expending a spell slot. You can do so three times, regaining all expended uses at dawn. Champions blessed by Targon, such as Taric or Leona, may find the Eye particularly attuned to their celestial nature, granting additional benefits as determined by the DM.";"https://wiki.leagueoflegends.com/en-us/images/Eye_of_the_Aspect_item.png"
"Eye of the Oasis";"Shurima";"Likely originating from Shurima's oasis, it might be tied to ancient guardians or benevolent spirits of the desert.";"This shimmering jewel hums with the life force of Shurima's ancient oases. While holding the Eye of the Oasis, you can cast Create or Destroy Water at will. As an action, you can touch a creature and restore 4d8 hit points. Once you use this healing ability, you can't use it again until you finish a long rest. The Eye whispers secrets of the desert, and might be connected to ancient guardians or benevolent spirits, revealing lore and quests at the DM's discretion.";"https://wiki.leagueoflegends.com/en-us/images/Eye_of_the_Oasis_item.png"
"Eye of the Watchers";"Freljord";"Linked to the Watchers of the Freljord, ancient beings of ice and void.";"While attuned to this frozen orb, you gain advantage on Wisdom (Perception) checks made to detect illusions or hidden creatures within 60 feet. As an action, you can peer into the icy depths of the orb, gaining truesight out to a range of 30 feet for 1 minute. Once used, this ability cannot be used again until the next dawn. The eye emanates an aura of extreme cold. Creatures within 5 feet of the orb have disadvantage on saving throws against effects that deal cold damage.";"https://wiki.leagueoflegends.com/en-us/images/Eye_of_the_Watchers_item.png"
"Farsight Orb";"Targon";"Likely crafted by a Solari order, used by scouts and sentinels to watch for signs of the Void's corruption on Runeterra. ";"This crystalline orb pulses with celestial energy. As an action, you can activate the orb to cast the Scrying spell (save DC 17), targeting a location or creature you have seen before. The orb can only be used once per day at dawn, after which its light dims until the next sunrise. While holding the orb, you have advantage on Wisdom (Insight) checks made to detect the presence of aberrations and creatures from other planes.";"https://wiki.leagueoflegends.com/en-us/images/Farsight_Orb_item.png"
"Flash Zone";"Ionia";"Worn by Ionian monks seeking enlightenment, the Flash Zone aids in swift escapes or ambushes, resonating with the land's inherent magic.";"This intricately woven sash shimmers with latent magical energy. As a bonus action, you can expend one of the sash's 3 charges to cast the Misty Step spell. The sash regains 1d3 expended charges daily at dawn. Additionally, while wearing the sash, your speed increases by 10 feet, and you gain advantage on Dexterity (Acrobatics) checks made to avoid being grappled or restrained.";"https://wiki.leagueoflegends.com/en-us/images/Flash_Zone_item.png"
"Force of Arms";"Demacia";"Forged in Demacia, this armament might have belonged to a Dauntless Vanguard, or a member of the Crownguard.";"This masterwork weapon, of Demacian make, grants a +2 bonus to attack and damage rolls. While wielding this weapon, you gain advantage on saving throws against being charmed or frightened. Additionally, once per day, when you hit a creature with an attack using this weapon, you can choose to knock the target prone if it is Large or smaller.";"https://wiki.leagueoflegends.com/en-us/images/Force_of_Arms_item.png"
"Forgefire Crest";"Freljord";"Likely forged by the Iceborn, or by the followers of Volibear, this crest provides the wearer a burning aura.";"While wearing this crest, you are wreathed in harmless flames, shedding bright light in a 15-foot radius and dim light for an additional 15 feet. You have resistance to cold damage. As an action, you can unleash a wave of fire. Each creature in a 15-foot cone originating from you must make a DC 15 Dexterity saving throw, taking 4d6 fire damage on a failed save, or half as much damage on a successful one. Once you use this ability, you can't use it again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Forgefire_Crest_item.png"
"Frosted Snax";"Freljord";"May be linked to the Winter's Claw, perhaps used as a food source during harsh winters. Could also be associated with yetis.";"These preserved rations provide sustenance and warmth in even the harshest conditions. Consuming a Frosted Snax requires an action and restores 2d4 hit points and grants advantage on Constitution saving throws against exhaustion for the next hour. A creature can only benefit from consuming one Frosted Snax every 24 hours.";"https://wiki.leagueoflegends.com/en-us/images/Frosted_Snax_item.png"
"Frostfire Gauntlet";"Freljord";"Likely forged by the Ice Witch Lissandra's servants. Grants resistance to flame and creates a zone of perpetual frost.";"While wearing these gauntlets, you have resistance to fire damage. As an action, you can create a 20-foot radius sphere of intense cold centered on a point you can see within 60 feet. The sphere lasts for 1 minute. Any creature that starts its turn within the sphere must succeed on a DC 15 Constitution saving throw or have its speed reduced by half until the start of its next turn. Additionally, at the start of each of your turns while the sphere persists, you can choose one creature within the sphere. That creature must make a DC 15 Constitution saving throw, taking 3d6 cold damage on a failed save, or half as much damage on a successful one. Once you use this ability, you can't use it again until you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Frostfire_Gauntlet_item.png"
"Frozen Mallet";"Freljord";"The Frozen Mallet could be associated with the Freljord, as it embodies the chilling power of the north and slowing enemies with ice.";"This magical maul is perpetually cold to the touch. Once per turn when you hit a creature with this weapon, that creature must succeed on a DC 15 Constitution saving throw or have its speed reduced by 10 feet until the end of its next turn. If the creature is already affected by an effect that reduces its speed, it instead has disadvantage on attack rolls until the end of its next turn.";"https://wiki.leagueoflegends.com/en-us/images/Frozen_Mallet_item.png"
"Giant Slayer";"Demacia";"Favored by Demacian soldiers, particularly those facing monstrous threats or heavily armored Noxian legions, embodying the spirit of overcoming overwhelming odds.";"This weapon deals an extra 2d6 damage to Large or larger creatures. When you hit a creature of Huge or Gargantuan size with this weapon, you can choose to attempt to knock it prone. The creature must succeed on a Strength saving throw (DC 10 + your Strength modifier + your proficiency bonus) or be knocked prone.";"https://wiki.leagueoflegends.com/en-us/images/Giant_Slayer_item.png"
"Globe of Trust";"Targon";"Said to be blessed by the Aspect of Twilight, granting clarity and foresight to its user, especially among the Rakkor.";"While holding this globe, you gain advantage on Wisdom (Insight) checks. Additionally, once per long rest, you can cast the Augury spell without using a spell slot or material components. When used within a settlement primarily populated by Rakkor, you also learn one additional piece of information from the augury.";"https://wiki.leagueoflegends.com/en-us/images/Globe_of_Trust_item.png"
"Goredrinker";"Noxus";"Favored by Noxian battlemages and warlords, it's believed to be tied to hemomancy and brutal, decisive victories, possibly Vladimir or the Black Rose.";"This magical greatsword pulses with crimson energy. Once per long rest as an action, when you hit a creature with this weapon, you can activate Goredrinker's Thirst. Until the end of your next turn, whenever you damage a creature with an attack, you regain hit points equal to half the damage dealt. Additionally, necrotic damage dealt by you ignores resistance.";"https://wiki.leagueoflegends.com/en-us/images/Goredrinker_item.png"
"Gravity Boots";"Targon";"Forged with celestial energies, rumored to grant wearers brief control over gravity, potentially linked to the Aspect of Twilight.";"While wearing these boots, you can use a bonus action to briefly manipulate gravity. For 1 minute, you gain a fly speed of 30 feet. If you are still flying when the minute ends, you descend at a rate of 30 feet per round until you reach the ground. You can use this ability once, regaining the ability to do so after a long rest. Additionally, as a reaction when you would fall, you can reduce the falling damage you take by an amount equal to five times your level.";"https://wiki.leagueoflegends.com/en-us/images/Gravity_Boots_item.png"
