Item Name;Region;Lore;DescriptionGame;DescriptionLore;ImageURL
Cruelty;noxus;Favored by Noxian gladiators, Cruelty is often seen in the arena, and is associated with might makes right.;Deals bonus damage based on enemy health and grants bonus movement speed.;On a hit, deal +1d6 damage per HD of the target. If the target is slain, gain +1 to movement until the end of the encounter.;https://wiki.leagueoflegends.com/en-us/images/Silvermere_Dawn_item.png
Decapitator;noxus;Favored by Noxian arena fighters, this weapon is said to bring swift ends to even the most formidable foes. For the glory of Noxus!;Deals bonus damage to low-health targets, ensuring a quick kill and preventing escapes.;On hit, a creature with less than 2 HD must save vs. Death Ray or be instantly slain. Otherwise, deals +1d4 damage.;https://wiki.leagueoflegends.com/en-us/images/Decapitator_item.png
Demonic Embrace;shadow isles;Whispers claim it's linked to a forgotten Shadow Isles ritual, binding a spirit's essence to objects.;Deals magic damage over time and grants bonus armor and magic resist.;Curse a foe's body and soul with burning agony (1d4 damage per round, save vs. spell each round). Gain +1 AC and +1 to saves vs. magic.;https://wiki.leagueoflegends.com/en-us/images/Demonic_Embrace_item.png
Diamond-Tipped Spear;freljord;Favored weapon of a forgotten ice tribe, tipped with a diamond formed under immense glacial pressure. Used to pierce the hearts of mammoths and gods alike.;+80 Attack Damage, +10% Critical Strike Chance, Unique Passive: Empowered attacks deal bonus damage and slow enemies.;On a successful hit, roll a d6. On a 5-6, the target must save vs. paralysis or be slowed (move at half speed) for 1 round. Against creatures of ice, the spear deals double damage.;https://wiki.leagueoflegends.com/en-us/images/Diamond-Tipped_Spear_item.png
Dragonheart;targon;Forged in the heart of a celestial dragon, Dragonheart is imbued with cosmic fire, resonating with the Solari faith atop Mount Targon.;Grants health regeneration and armor, empowering the wearer with draconic resilience in battle.;Wearer gains +2 to AC. When damaged, roll 1d6. On a 6, exhale a cone of fire (1d6 damage, save for half) once per day.;https://wiki.leagueoflegends.com/en-us/images/Dragonheart_item.png
Eleisa's Miracle;demacia;Potentially named after a renowned Demacian healer or saint, it symbolizes resilience and recovery against overwhelming odds.;Grants health, mana regeneration, and reduces crowd control duration.;Wearer heals 1d6 hp per turn and recovers from paralyzation, if save is made. Charm attempts suffer -2 penalty against wearer.;https://wiki.leagueoflegends.com/en-us/images/Eleisa%27s_Miracle_item.png
Everfrost;freljord;Potentially created by a Freljordian Ice Witch. Grants slowing and immobilizing effects, resembling Lissandra's magic.;Deals damage in a cone, slowing enemies. Immobilizes enemies in the center.;Cone of frost deals 3d6 cold damage, slowing (Save vs. magic to negate). Center target must Save vs. magic or be held fast, paralyzed by ice for 1d4 rounds.;https://wiki.leagueoflegends.com/en-us/images/Everfrost_item.png
Force of Entropy;noxus;Forged in the heart of Noxus, the Force of Entropy embodies the empire's relentless pursuit of power, twisting magic to dominate foes.;Deals bonus damage and grants movement speed when hitting enemy champions.;On a hit, touch infuses the target with entropy. Save vs. Death or take 1d6 damage and move last next round. On subsequent hits, the entropy spreads, affecting another target.;https://wiki.leagueoflegends.com/en-us/images/Force_of_Entropy_item.png
Galeforce;ionia;The Galeforce is rumored to be crafted by ancient Ionian windspeakers, channeling storms into a single, deadly gust.;Active: Dash a short distance and fire projectiles at the nearest enemy.;Whistle and a roaring wind propels you. Save versus Wind or be blown 2d6 * 10' in a random direction. Attack at +4 after, dealing 1d6 wind damage.;https://wiki.leagueoflegends.com/en-us/images/Galeforce_item.png
Gargoyle Stoneplate;demacia;Forged in Demacia, rumored to be infused with petricite, enhancing the wearer's resilience. Used by sentinels during the Ruination.;Increases armor and magic resist. Activate to gain a large shield, increased by nearby enemies.;Wearer gains +2 to AC, but suffers -1 on DEX saves. Once per day, can turn to stone for 1d4 rounds, gaining +8 AC and advantage on STR checks.;https://wiki.leagueoflegends.com/en-us/images/Gargoyle_Stoneplate_item.png
Hemomancer's Helm;noxus;Crafted by a forgotten Noxian hemomancer, it amplifies blood magic. Linked to dark pacts made in the empire's early days.;Grants bonus health and ability haste, amplifying healing and damage based on missing health.;Wearer gains +2 to hit when bleeding, +4 if the target is also suffering blood loss. All blood magic spells gain +1 to cast.;https://wiki.leagueoflegends.com/en-us/images/Hemomancer%27s_Helm_item.png
Innervating Locket;targon;Forged with celestial energies, rumored to resonate with the aspects of Targon, offering vitality and strength to its wielder.;Grants ability haste, magic resist, and health, while also reducing ultimate cooldown.;Wearer gains +2 to saves vs. magic. Once per day, wearer may re-roll any saving throw, accepting the second result. Grants advantage when resisting exhaustion.;https://wiki.leagueoflegends.com/en-us/images/Innervating_Locket_item.png
Lightning Rod;freljord;Whispers say Volibear's followers craft these rods, believing they channel the storm's fury. Some bear faint claw marks.;Periodically emits chain lightning, damaging nearby enemies.;Creatures struck by the rod's lightning must SAVE vs. Magic or be stunned for 1 round. Rod discharges 3 times/day. User vulnerable to lightning.;https://wiki.leagueoflegends.com/en-us/images/Lightning_Rod_item.png
Moonflair Spellblade;targon;Associated with the Lunari of Targon, harnessing lunar magic. Could be connected to champions like Diana or Aphelios.;Provides magic resist and ability haste. Grants bonus movement speed after dealing spell damage.;Confers Advantage on saves vs. magical effects. Once per dawn, user may move at double speed for one turn after casting a spell.;https://wiki.leagueoflegends.com/en-us/images/Moonflair_Spellblade_item.png
Prowler's Claw;noxus;Favored by Noxian assassins, Prowler's Claw is linked to swift, brutal ambushes, embodying Noxus's aggressive military doctrine.;Dashes through enemies, dealing damage and increasing damage dealt for a short duration after the dash.;Grants the wearer one use of Dimension Door, but only to attack. After teleporting, the next attack deals +2 damage for 1d4 rounds.;https://wiki.leagueoflegends.com/en-us/images/Prowler%27s_Claw_item.png
Pyromancer's Cloak;noxus;Forged in the heart of the Immortal Bastion, rumored to be imbued with a fragment of a long-dead fire mage's soul.;Deals magic damage to nearby enemies every second, increased damage to minions and monsters.;Creatures within 10' take 1d6 fire damage each round. Undead take double damage. Cloth and paper ignite instantly. Save versus fire or be set aflame for 1d4 rounds.;https://wiki.leagueoflegends.com/en-us/images/Pyromancer%27s_Cloak_item.png
Reality Fracture;targon;Forged with celestial energies, it echoes the will of the Aspects, reshaping the world around the wielder. Associated with mountain forges.;Deals bonus damage based on the target's current health and shreds armor.;Upon striking a foe, roll a d6. On a 6, permanently reduce their armor by 1. If armor reaches 0, the next attack deals double damage. Represents Celestial judgment.;https://wiki.leagueoflegends.com/en-us/images/Reality_Fracture_item.png
Regicide;noxus;A blade forged in the heart of Noxus, whispering promises of power to those who dare to seize the throne. Associated with Darius.;Gain bonus damage and movement speed after killing an enemy champion. Killing the champion with the highest killstreak grants additional bonuses.;Upon slaying a foe, gain +1 to hit and damage rolls for 1d4 turns. Slaying a 'king' (highest level creature) grants permanent +1 to charisma and advantage on saves vs. fear.;https://wiki.leagueoflegends.com/en-us/images/Regicide_item.png
Runecarver;freljord;Ancient Freljordian magic, possibly tied to the Iceborn or forgotten rune mages, is imbued within the Runecarver's enchantments.;Empowers basic attacks with bonus damage and slows enemies. Periodically grants a shield after casting an ability.;Weapon deals +1d4 frost damage, slowing targets (Save vs. Paralysis). After casting a spell, gain 3 temp HP (1 round duration).;https://wiki.leagueoflegends.com/en-us/images/Runecarver_item.png
Shield of Molten Stone;targon;Forged in the heart of Mount Targon, rumored to have been touched by the fire of a fallen Aspect.;Provides health, armor, and a damage aura to nearby allies, while reducing damage taken.;Wearer becomes a beacon of resilience. Allies within 30' gain +1 AC and +1 on saves vs. fear. Incoming attacks are slightly less effective on the wearer.;https://wiki.leagueoflegends.com/en-us/images/Shield_of_Molten_Stone_item.png
Talisman of Ascension;targon;Favored by those ascending Mount Targon, it is said to bear the protective blessings of the celestial peak, aiding pilgrims in their journey.;Grants movement speed, health regeneration, and cooldown reduction to nearby allies when activated.;Once per day, grants +1 to AC to the party within 30ft for 1d4 rounds. The talismanbearer must make a DC 13 Wisdom save or be compelled to move towards the nearest high peak.;https://wiki.leagueoflegends.com/en-us/images/Talisman_of_Ascension_item.png
Twilight's Edge;noxus;Favored by Noxian assassins, this blade channels twilight magic, granting temporary invisibility and armor penetration, aiding in covert operations.;Grants invisibility after using a dash or blink. The next attack deals bonus damage and reduces armor.;Upon command word, user vanishes into shadows for 1 round. First attack from shadows deals +1d6 damage and reduces target AC by 2 for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Twilight%27s_Edge_item.png
Legendary Assassin Item;noxus;Favored by assassins in the Leblanc's Black Rose cabal, this blade whispers secrets of shadow magic and swift strikes.;Grants lethality and movement speed, enhancing burst damage and mobility for assassins.;On a hit, target saves vs. Death at -2 or age 1d4 years. Grants +2 to Surprise checks. On a miss, user is briefly visible to ethereal beings.;https://wiki.leagueoflegends.com/en-us/images/Legendary_Assassin_Item_item.png
Legendary Mage Item;targon;Forged atop Mount Targon, imbued with celestial magic. Grants power to those who channel the stars, favored by the Aspect of Magic.;Grants bonus ability power, mana regeneration, and cooldown reduction. Empowers spells with celestial energy.;"As a reaction, discharge a surge of celestial energy. Foes within 30' take 1d6 force damage per caster level; save for half. On a natural 1, the caster is stunned for 1 round.";https://wiki.leagueoflegends.com/en-us/images/Legendary_Mage_Item_item.png
Legendary Support Item;targon;Favored by ascetics seeking enlightenment, some say the items whisper guidance from beyond the stars, a gift from the celestial Aspect.;Provides gold and vision, enhancing support abilities and granting wards.;Confers +1 to Wisdom saves. Once per day, cast 'light'. Sacrifice a point of HP to see through the eyes of a distant creature, as per the 'clairvoyance' spell.;https://wiki.leagueoflegends.com/en-us/images/Legendary_Support_Item_item.png
Prismatic Item;targon;Forged in the heart of Mount Targon, imbuing the wielder with celestial power and the might of the Aspects.;Grants bonus stats and an additional unique effect based on the equipped champion.;Upon attunement, roll a d6: 1-3 bestows a boon, 4-6 inflicts a curse. Boons are potent, curses dire. Cannot be removed except by a wish.;https://wiki.leagueoflegends.com/en-us/images/Prismatic_Item_item.png
Anathema's Chains;noxus;Forged in Noxus, these chains may bind even the mightiest foe, turning their own strength against them, a tool for assassins and duelists.;Designate a nemesis to take reduced damage from and deal less damage to your allies.;Curse a creature. They deal -1d4 on attack rolls against the party, and all damage they inflict on the wielder is halved. Save versus spell each dawn to break the chains.;https://wiki.leagueoflegends.com/en-us/images/Anathema%27s_Chains_item.png
Atma's Reckoning;demacia;Associated with Demacian military, possibly named after a revered general or hero known for resilience and tactical prowess.;Grants attack damage based on a percentage of maximum health, and armor.;Wearer gains +1 to hit for every 10 hit points, and are considered AC 3 vs bludgeoning attacks. Upon dropping to 0 hp or below the wielder may chose to take a level of exhaustion to stay at 1 hp.;https://wiki.leagueoflegends.com/en-us/images/Atma%27s_Reckoning_item.png
Ghostcrawlers;shadow isles;Harrowing relics from the Shadow Isles. Grants the wearer the ability to hunt souls.;Provides movement speed and bonus damage when near enemy champions.;Wearer moves at +50% speed toward undead. Deal +1d6 damage to corporeal undead, but suffer -1 on saves vs. incorporeal undead.;https://wiki.leagueoflegends.com/en-us/images/Ghostwalkers_item.png
Guardian's Dirk;noxus;Favored by novice assassins in Noxus. Its dark steel may originate from a mine near the Immortal Bastion, known for imbuing weapons with lethal sharpness.;Grants lethality and attack damage. Passively grants bonus movement speed when out of combat.;Wearer gains +1 to hit and damage rolls against unaware foes. Move silently as a thief 7/10 in wild zones.;https://wiki.leagueoflegends.com/en-us/images/Sanguine_Blade_item_old2.png
Hellfire Hatchet;noxus;Forged in the heart of Noxus, rumored to have been used in dark rituals within the Immortal Bastion. Possibly tied to demonic pacts.;Increases magic damage and provides bonus health regeneration based on mana spent.;User's spells become infused with hellfire (1d6 fire damage). Spending mana heals 1hp, but risks demonic attention (GM roll on excessive use).;https://wiki.leagueoflegends.com/en-us/images/Hellfire_Hatchet_item.png
Juice of Haste;ionia;Associated with Ionian monks seeking enlightenment through heightened reflexes and spiritual clarity. Legends say it enhances connection with the spirit realm.;Grants temporary increased movement speed and attack speed.;Drink and for 1d4 rounds, double movement. Roll a d6. On a 1, the character is confused, believing they are fighting an old enemy.;https://wiki.leagueoflegends.com/en-us/images/Juice_of_Haste_item.png
Juice of Vitality;ionia;Likely brewed by Ionian monks seeking enlightenment, or perhaps a product of the Spirit Blossom festival's magic.;Restores a small amount of health and mana over a short duration.;Drink and recover 1d4 hit points and 1d4 mana (or equivalent) over the next turn. There is a 1 in 6 chance of vivid hallucinations for 1d3 turns thereafter.;https://wiki.leagueoflegends.com/en-us/images/Juice_of_Vitality_item.png
Perplexity;ionia;Whispers say it's tied to a forgotten Ionian spirit, capable of disrupting the minds of even the most disciplined monks.;Reduces the target's magic resistance and movement speed for a short duration.;Creature suffers -2 to saves vs. mind-affecting spells and moves at half speed for 1d4 rounds. Save vs. Spells negates movement penalty.;https://wiki.leagueoflegends.com/en-us/images/Spellbinder_item.png
Spectral Cutlass;shadow isles;Forged in the Shadow Isles, it whispers promises of power and oblivion, corrupting the wielder's soul.;Grants lifesteal and an active ability that slows enemies and steals their movement speed.;Wielder heals HP equal to damage dealt by melee attacks. Once per day, target must SAVE vs. Death or suffer -2 to movement for 1d4 rounds. If the SAVE is failed, wielder gains +2 movement for the same duration.;https://wiki.leagueoflegends.com/en-us/images/Spectral_Cutlass_item.png
Sword of Blossoming Dawn;ionia;Crafted by a forgotten Ionian order, it resonates with the Spirit Blossom Festival, amplifying spiritual connections and ancestral echoes.;Heals allies and empowers attacks after casting your ultimate.;Upon uttering a prayer with this sword, restore 1d6 hit points to the nearest ally. For the next round, your attacks deal +1 damage and spirits whisper warnings, granting +1 to AC.;https://wiki.leagueoflegends.com/en-us/images/Sword_of_Blossoming_Dawn_item.png
Wooglet's Witchcap;ionia;Favored by Ionian mages, rumored to enhance natural magic. Some believe it once belonged to a powerful spirit.;Grants Ability Power. Upon taking fatal damage, become untargetable and invulnerable for a short duration.;"Wearer gains +3 to magic damage rolls. Once per day, when reduced to 0 hp, become ethereal for 1d4 rounds; attacks pass through, but wearer cannot act.";https://wiki.leagueoflegends.com/en-us/images/Wooglet%27s_Witchcap_item.png
Abyssal Scepter;freljord;Said to resonate with the raw magic of the Freljord, amplifying the wielder's power and weakening magical defenses.;Grants magic resist and reduces magic resist of nearby enemies.;Creatures within 20' suffer -2 to saves versus magic. Wielder gains +2 to saves versus magic, negating magic missiles outright on a successful save. A palpable hum emanates when near the magically sensitive.;https://wiki.leagueoflegends.com/en-us/images/Abyssal_Scepter_item.png
Aegis of the Legion;demacia;Symbol of the Dauntless Vanguard, it bolsters nearby allies. Bearer is emboldened by a golden glow and gains unnatural resilience.;Nearby allies gain magic resist and armor. Grants the user bonus armor, magic resist, and ability haste.;Confers +1 to saves vs. spells and +1 AC to self and allies within 30'. Upon a critical failure, the Aegis shatters, losing its magical properties.;https://wiki.leagueoflegends.com/en-us/images/Aegis_of_the_Legion_item.png
Ancient Coin;shurima;Likely originated in Shurima, where currency was tied to celestial favor and desert survival.;Periodically grants gold and mana upon nearby enemy minion death.;Upon receiving this coin, roll a d6. On a 1, attract unwanted spirits. On a 6, gain advantage on a future saving throw against starvation or thirst.;https://wiki.leagueoflegends.com/en-us/images/Ancient_Coin_item.png
Arcane Helix;ionia;The Arcane Helix hums with Ionian spirit magic, resonating with the land's ancient energies and possibly influencing spirit blossom festivals.;Periodically empowers the next attack, dealing bonus magic damage and healing the user.;Heal 1d4 hp and deal 1d4 arcane damage on a successful melee attack. Must recharge for 1 turn after use, leaving you vulnerable.;https://wiki.leagueoflegends.com/en-us/images/Arcane_Helix_item.png
Archangel's Staff;ionia;Favored by Ionian monks seeking enlightenment, the staff amplifies inner energies. It is rumored to resonate with the spirit realm.;Grants mana, ability power, and mana regeneration, converting mana into additional ability power.;The wielder's spells are louder and brighter. Failed spellcasting risks summoning an imp from the outer planes. Spending mana risks a point of fatigue.;https://wiki.leagueoflegends.com/en-us/images/Archangel%27s_Staff_%28Quick_Charge%29_item.png
Athene's Unholy Grail;targon;Said to be blessed by the celestial Aspect of Magic, granting its wielder immense magical power and spiritual insight.;Grants mana regen, AP, and MR. Provides bonus healing/shielding based on damage dealt.;Wielder gains +2 to WIS saves vs. enchantment. Healing spells also grant a shield equal to damage dealt, but makes the wielder vulnerable to psychic attack if the target is evil.;https://wiki.leagueoflegends.com/en-us/images/Athene%27s_Unholy_Grail_item.png
Augment: Death;noxus;Associated with the Black Rose, granting its user immense power, but at a terrible cost. Could be related to forbidden hemomancy rituals.;Increases ability power and grants bonus damage to low-health enemies, amplifying kill potential.;On a hit, if the target has less than 2 HD, they must save versus death or die. The wielder loses 1 max HP permanently after each usage.;https://wiki.leagueoflegends.com/en-us/images/Augment-_Death_item.png
Augment: Power;targon;Potentially created by a forgotten aspect of Targon, granting immense arcane power. It's linked to celestial beings enhancing mortals.;Abilities deal bonus damage. Grants Ability Power on champion level up. Provides bonus magic damage.;Grants the user temporary access to the celestial realm. 1-in-6 chance of attracting the attention of a powerful entity, resulting in a boon or a curse.;https://wiki.leagueoflegends.com/en-us/images/Augment-_Power_item.png
Bag of Tea;ionia;Associated with Ionian monasteries, used for meditation and healing rituals. Perhaps a connection to the Kinkou Order or the Wuju Style.;Restores a small amount of health and mana over time. Grants temporary bonus to magic resistance.;Drink: Restore 1d4 hit points and 1d4 mana points. Advantage on saves vs. enchantment spells for 1 turn. Tea leaves can be used to detect poison in food/drink (6 in 6 chance).;https://wiki.leagueoflegends.com/en-us/images/Bag_of_Tea_item.png
Bilgewater Cutlass;bilgewater;A common sidearm in Bilgewater, often enchanted for extra punch. Used by bounty hunters and gang members alike.;Deals damage and slows a target champion. Grants some lifesteal on hit.;On a hit, target must make a DC 13 Fortitude save or be slowed for 1 round. User heals 1d4 hit points when dealing damage with the blade.;https://wiki.leagueoflegends.com/en-us/images/Bilgewater_Cutlass_item.png
Blink Dagger;ionia;Favored by Ionian monks and assassins, the Blink Dagger is rumored to be crafted with magic allowing for short-range teleportation.;Instantly blink a short distance. Cannot be used for a few seconds after taking damage.;"Upon command, user vanishes and reappears up to 30' away. A strong blow disrupts the magic; user must SAVE vs. Spells or ability fails and renders them stunned for 1 round.";https://wiki.leagueoflegends.com/en-us/images/Blink_Dagger_item.png
Bloodward;noxus;"Forged in Noxus, rumored to contain blood magic, grants the wielder a shield based on damage dealt; possibly connected to Vladimir.";Grants a shield based on damage dealt to enemy champions. Provides attack damage and lifesteal.;Upon striking a foe, gain temporary HP. This HP vanishes quickly. Save vs. Death when HP is reduced to 0, gain a lesser effect instead.;https://wiki.leagueoflegends.com/en-us/images/Bloodward_item.png
Bonetooth Necklace;noxus;Favored by assassins. The necklace is rumored to contain the souls of those Rengar has hunted. Thus, it's influence waxes and wanes with each kill.;Grants bonus attack damage and movement speed upon takedowns. Upgrades with more kills.;Confers +1 to hit and damage rolls against creatures of the slain type. Further, wearer adds +1 to speed factor for each kill. However, should the wearer be slain, their soul is forfeit.;https://wiki.leagueoflegends.com/en-us/images/Rengar_Bonetooth_Necklace_old.png
Boots of Speed;ionia;Simple footwear, common across Runeterra. But in Ionia, some believe even the road you walk shapes your destiny.;Slightly increased movement speed.;Wearer's base movement is increased by 20'. Decrease encounter distance by 1d4 x 10' due to increased travel speed. Save vs. surprise on even-numbered turns.;https://wiki.leagueoflegends.com/en-us/images/Boots_of_Speed_item.png
Breathstealer;noxus;Likely crafted by a Hemomancer in Noxus, perhaps to sustain their power in combat, or to drain power from the enemies in order to grant it to its wielder.;Damaging champions heals you. Healing is increased based on missing health. Grants attack damage and ability haste.;On a successful hit, recover 1d4 hit points. If below half hit points, recover 1d6 instead. The wielder gains +2 on attack rolls and initiative.;https://wiki.leagueoflegends.com/en-us/images/Breathstealer_item.png
Bulwark of the Mountain;targon;Forged on Targon, it is said to protect against celestial wrath, favored by the Solari for its protective properties.;Grants health, armor, magic resist, and damage reduction for nearby allies upon taking damage.;Wearer gains +3 to AC. When struck, allies within 10' gain +1 AC against the same attack type until the end of their next turn. Mountain's wrath lingers!;https://wiki.leagueoflegends.com/en-us/images/Bulwark_of_the_Mountain_item.png
Captain;bilgewater;Favored by ambitious captains, this trinket whispers promises of swift voyages and plunder from distant shores.;Increases movement speed out of combat. Grants temporary movement speed boost when near turrets.;Wearer moves swiftly when not threatened. Nearby friendly structures hasten the wearer's advance for one turn, but cannot move in the subsequent round.;https://wiki.leagueoflegends.com/en-us/images/Captain_item.png
Ceaseless Hunger;noxus;Associated with the Crimson Circle, a secret society within Noxus known for their hemomancy and blood rituals.;Provides omnivamp and bonus attack damage that scales with missing health.;"Wearer gains HP on a hit; below 50% HP, deal +1d6 damage. On a critical hit, regain 1d4 lost HP. But at 0 HP, you must continue to feed the item!";https://wiki.leagueoflegends.com/en-us/images/Ceaseless_Hunger_item.png
Certainty;ionia;Crafted by Ionian monks seeking inner peace, it's rumored to be associated with the spirit realm and moments of perfect clarity.;Grants temporary immunity to crowd control effects and reduces incoming damage for a short duration.;Negates all incoming hostile magic. The wielder is filled with unnatural speed as if blessed by the wind spirit. If wearing heavy armor, the next round's speed stat is treated as if unarmored.;https://wiki.leagueoflegends.com/en-us/images/Certainty_item.png
Chalice of Harmony;targon;Forged atop Mount Targon, it resonates with celestial energies, offering solace and balance to its wielder, reminiscent of the Aspect of Harmony.;Restores mana based on health spent, providing sustain in lane.;Grants advantage on saves vs. magical effects. Once per day, regain 1d6 lost hit points per level if your hit points are below half.;https://wiki.leagueoflegends.com/en-us/images/Chalice_of_Harmony_item.png
Cinderhulk;noxus;Forged in the heart of Noxus, rumored to be quenched in the blood of conquered foes, it imbues its wearer with burning strength.;"Immolate aura burns nearby enemies; bonus health and increased size. Damage scales with bonus health.";Creatures striking the wearer take 1d4 fire damage. +1 to saves vs. cold. The wearer counts as one size larger for grappling and intimidation.;https://wiki.leagueoflegends.com/en-us/images/Juggernaut_item.png
Cloak and Dagger;ionia;Whispers say a master Ionian shadow dancer crafted these. Some link it to the conflicts surrounding the Kinkou Order.;Grants bonus attack damage and movement speed after dealing damage, enhancing burst potential and mobility.;Wearer gains +1 to Surprise. On successful attack, move unseen to any location within line of sight, leaving no trace. If the attack misses, user is revealed.;https://wiki.leagueoflegends.com/en-us/images/Cloak_and_Dagger_item.png
Corrupting Potion;noxus;Favored by Noxian assassins and those who delve into forbidden alchemy, it grants the drinker a temporary edge at a terrible price.;Consuming this potion grants health and mana over time and adds bonus damage to attacks and spells.;Upon drinking, roll a d6. On a 1, gain a point of corruption. At 6 corruption, character becomes an NPC under DM control. Grants +2 to attack rolls for 1d4 turns, regain 1d8 lost HP.;https://wiki.leagueoflegends.com/en-us/images/Corrupting_Potion_item.png
Cry of the Shrieking City;shurima;Whispers suggest the city's fall was due to a powerful Void incursion, leaving behind only echoes and this unsettling artifact.;Periodically unleash a wave of damage that slows enemies.;Once per day, emit a sonic blast. Save vs. Magic or be slowed for 1d4 turns. Undead are immune. Those slain by this item become husks.;https://wiki.leagueoflegends.com/en-us/images/Cry_of_the_Shrieking_City_item.png
Dark Matter Scythe;shadow isles;Crafted with dark magic in the Shadow Isles, it is said to corrupt the wielder, drawing power from the souls of the dead.;Deals magic damage and grants bonus movement speed and stacking magic penetration upon hitting an enemy champion.;Suffer 1d4 Sanity when equipped. Each hit drains 1 HP from target, granting the wielder +1 temp HP and +1 to hit rolls against that foe for 1 turn. ;https://wiki.leagueoflegends.com/en-us/images/Dark_Matter_Scythe_item.png
Daybreak;targon;Forged in the light of Targon, rumored to be connected to the Solari and their eternal conflict against the Lunari.;Empowers the wielder's next attack after using an ability, dealing bonus damage and granting movement speed.;Strike with celestial fury after channeling power. Successful hit grants +1 to next initiative roll as you surge with solar energy. However, the light fades, imposing -1 to hit chance next round.;https://wiki.leagueoflegends.com/en-us/images/Daybreak_item.png
Dervish Blade;ionia;Favored by Ionian duelists, its whirling blades are said to channel the spirits of past masters, enhancing agility and precision.;Grants attack damage, attack speed, and movement speed. Unique active grants temporary bonus movement speed and phantomize.;On command, the wielder becomes as mist, gaining +2 to AC and +4 to saves vs. area attacks for 1 round. Afterwards, take 1d4 damage due to the strain of manipulating the life force.;https://wiki.leagueoflegends.com/en-us/images/Dervish_Blade_item.png
Distortion;ionia;This item seems to be associated with Ionian monks who are known for their movement techniques and spiritual attunement.;Allows more frequent use of Flash and Ghost summoner spells.;Once per day, teleport up to 30' or become invisible and move at double speed for 3 turns. Afterwards, make a DC 15 WIS save or be stunned for 1 turn.;https://wiki.leagueoflegends.com/en-us/images/Distortion_item.png
Doran's Lost Idol;ionia;Said to be crafted by a wandering monk, seeking enlightenment, for disciples of his order. Perhaps connected to a forgotten spirit.;Grants mana regeneration and healing power, useful for sustain in lane.;The bearer regenerates 5 MP per turn, and healing spells or potions are +1 HP/level more effective. Prolonged use risks attracting spirits, requiring a WIS save to avoid possession.;https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Lost_Idol_item.png
Doran's Lost Shield;freljord;Crafted from lost Freljordian ice magic, the shield whispers forgotten tales of the fallen Iceborn.;Provides health, health regeneration, and ability power.;Wearer gains +3 hit points, heals 1d4 hit points per turn, and spells are cast as if the wielder was one level higher. But beware the whispers of the shield— heed them not!;https://wiki.leagueoflegends.com/en-us/images/Doran%27s_Lost_Shield_item.png
Dreamshatter;targon;Forged by celestial artisans on Mount Targon, rumored to shatter nightmares and grant clarity in the face of oblivion.;Deals AoE damage on active, grants a shield, and empowers the next attack to deal bonus damage.;Active: Shatters illusions and dispels fear. 1d6 Bludgeoning damage to ethereal foes. Shield grants +2 to saves vs. mind-altering effects. Next attack deals +1d4 damage and briefly stuns (DC 13 WIL save negates).;https://wiki.leagueoflegends.com/en-us/images/Dreamshatter_item.png
Eleisa's Miracle;demacia;Named after Eleisa, a Demacian healer known for her compassion. Possibly associated with the Lightbringers, a monastic order devoted to healing.;Grants health, mana regeneration, and reduces crowd control duration.;Wearer gains +3 to saves vs. charm and paralysis. Once per day, can replenish 1d6 hit points or recover from being stunned if incapacitated.;https://wiki.leagueoflegends.com/en-us/images/Eleisa%27s_Miracle_item.png
Elixir of Brilliance;demacia;Potent brew favored by Demacian artificers enhancing innovation, now outlawed due to volatile side effects.;Grants bonus Ability Power, Attack Damage, and Cooldown Reduction for a short duration.;"For 10 minutes, cast spells as if two levels higher and deal +2 damage; after, roll a d6. On a 1, experience is cursed: next level requires double XP.";https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Brilliance_item.png
Elixir of Ruin;noxus;Potent brew favored by Noxian siege engineers and demolitionists, known for its volatile enhancement of destructive capabilities.;Grants bonus health, increased damage to turrets, and bonus attack damage to minions.;Drink grants +2 to hit structures, +1 damage. Allies within 30' suffer -1 to hit, unless immune to fear. Duration: 3 turns. Potential side effect: uncontrollable fits of giggling.;https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Ruin_item.png
Emblem of Valor;demacia;Forged in Demacia, the Emblem of Valor is often used by soldiers needing to prove their loyalty and bravery to their leaders.;Grants bonus health regeneration based on missing health, increasing survivability in prolonged fights.;Wearer heals 1d4 hit points per turn while below half hit points. Grants +1 to morale checks when facing overwhelming odds. If the wearer retreats, the emblem crumbles to dust.;https://wiki.leagueoflegends.com/en-us/images/Emblem_of_Valor_item.png
Enmity of the Masses;noxus;Forged in the heart of Noxus, this item might have been used by a brutal warlord to suppress rebellions or enforce conscription.;Taunt nearby enemies upon immobilizing an enemy champion.;Upon hindering a foe, all lesser beings nearby must test Morale (failure means fleeing or cowering for 1d4 turns). Those immune to fear gain -2 to hit the wielder.;https://wiki.leagueoflegends.com/en-us/images/Enmity_of_the_Masses_item.png
Entropy Field;noxus;The Entropy Field hums with the chaotic energy of the Crimson Circle, possibly used in their brutal arena rituals. It shifts the very fabric of reality around it.;Deals damage and slows enemies upon impact, creating a zone that slows enemies inside it.;On a hit, inflicts 1d6 entropy damage, slowing movement by half for 1 round. Area effect: 10' radius, saves vs magic or be slowed. Continued exposure causes mutation - roll on corruption table.;https://wiki.leagueoflegends.com/en-us/images/Entropy_Field_item.png
