Item Name;Region;Lore;DescriptionGame;DescriptionLore2;ImageURL;DescriptionLore;;;;;
Runecarver;freljord;Ancient Freljordian magic, possibly tied to the Iceborn or forgotten rune mages, is imbued within the Runecarver's enchantments.;Empowers basic attacks with bonus damage and slows enemies. Periodically grants a shield after casting an ability.;Weapon deals +1d4 frost damage, slowing targets (Save vs. Paralysis). After casting a spell, gain 3 temp HP (1 round duration).;https://wiki.leagueoflegends.com/en-us/images/Runecarver_item.png;Weapon (any axe), very rare (requires attunement). This axe scores a critical hit on a roll of 19 or 20. When you score a critical hit with this weapon, the target takes an extra 2d6 cold damage and must succeed on a DC 15 Constitution saving throw or be restrained until the end of your next turn.;;;;;
Shield of Molten Stone;targon;Forged in the heart of Mount Targon, rumored to have been touched by the fire of a fallen Aspect.;Provides health, armor, and a damage aura to nearby allies, while reducing damage taken.;Wearer becomes a beacon of resilience. Allies within 30' gain +1 AC and +1 on saves vs. fear. Incoming attacks are slightly less effective on the wearer.;https://wiki.leagueoflegends.com/en-us/images/Shield_of_Molten_Stone_item.png;Armor (shield), very rare (requires attunement). While holding this shield, you have resistance to fire damage. As a reaction when you are hit by a melee attack, you can cause the attacker to take 2d6 fire damage. The shield has 3 charges and regains 1d3 expended charges daily at dawn.;;;;;
Talisman of Ascension;targon;Favored by those ascending Mount Targon, it is said to bear the protective blessings of the celestial peak, aiding pilgrims in their journey.;Grants movement speed, health regeneration, and cooldown reduction to nearby allies when activated.;Once per day, grants +1 to AC to the party within 30ft for 1d4 rounds. The talismanbearer must make a DC 13 Wisdom save or be compelled to move towards the nearest high peak.;https://wiki.leagueoflegends.com/en-us/images/Talisman_of_Ascension_item.png;Wondrous item, very rare (requires attunement). While wearing this talisman, you have advantage on saving throws against exhaustion and the effects of extreme altitude. Additionally, once per day, when you fail a saving throw, you can choose to succeed instead.;;;;;
Twilight's Edge;noxus;Favored by Noxian assassins, this blade channels twilight magic, granting temporary invisibility and armor penetration, aiding in covert operations.;Grants invisibility after using a dash or blink. The next attack deals bonus damage and reduces armor.;Upon command word, user vanishes into shadows for 1 round. First attack from shadows deals +1d6 damage and reduces target AC by 2 for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Twilight%27s_Edge_item.png;This Noxian blade hums with twilight magic. As a bonus action, you can expend 1 charge to become invisible until the end of your next turn. Additionally, attacks made with this weapon ignore resistance to piercing and slashing damage. This weapon has 3 charges and regains 1d3 expended charges daily at dusk.;;;;;
Legendary Assassin Item;noxus;Favored by assassins in the Leblanc's Black Rose cabal, this blade whispers secrets of shadow magic and swift strikes.;Grants lethality and movement speed, enhancing burst damage and mobility for assassins.;On a hit, target saves vs. Death at -2 or age 1d4 years. Grants +2 to Surprise checks. On a miss, user is briefly visible to ethereal beings.;https://wiki.leagueoflegends.com/en-us/images/Legendary_Assassin_Item_item.png;This blade whispers secrets of shadow magic. While attuned to this weapon, you have advantage on Dexterity (Stealth) checks. Additionally, once per short rest, when you hit a creature with this weapon, you can expend a Hit Die to deal extra necrotic damage equal to the result. The target must also succeed on a DC 15 Constitution saving throw or have disadvantage on the next saving throw they make before the end of their next turn.;;;;;
Legendary Mage Item;targon;Forged atop Mount Targon, imbued with celestial magic. Grants power to those who channel the stars, favored by the Aspect of Magic.;Grants bonus ability power, mana regeneration, and cooldown reduction. Empowers spells with celestial energy.;"As a reaction, discharge a surge of celestial energy. Foes within 30' take 1d6 force damage per caster level; save for half. On a natural 1, the caster is stunned for 1 round.";https://wiki.leagueoflegends.com/en-us/images/Legendary_Mage_Item_item.png;Forged atop Mount Targon, this item pulses with celestial magic. While holding this item, your spell save DC increases by 2. Additionally, once per long rest, when you cast a spell that deals radiant damage, you can maximize the damage dice of that spell.;;;;;
Legendary Support Item;targon;Favored by ascetics seeking enlightenment, some say the items whisper guidance from beyond the stars, a gift from the celestial Aspect.;Provides gold and vision, enhancing support abilities and granting wards.;Confers +1 to Wisdom saves. Once per day, cast 'light'. Sacrifice a point of HP to see through the eyes of a distant creature, as per the 'clairvoyance' spell.;https://wiki.leagueoflegends.com/en-us/images/Legendary_Support_Item_item.png;While holding this item, you gain advantage on Wisdom saving throws. Additionally, once per long rest, when an ally within 30 feet of you fails a saving throw, you can choose to have them succeed instead. The item then cannot be used again until you finish a long rest.;;;;;
Prismatic Item;targon;Forged in the heart of Mount Targon, imbuing the wielder with celestial power and the might of the Aspects.;Grants bonus stats and an additional unique effect based on the equipped champion.;Upon attunement, roll a d6: 1-3 bestows a boon, 4-6 inflicts a curse. Boons are potent, curses dire. Cannot be removed except by a wish.;https://wiki.leagueoflegends.com/en-us/images/Prismatic_Item_item.png;While attuned to this item, you gain resistance to one damage type of your choice. As an action, you can change the damage type. In addition, once per day, you can cast a spell of 5th level or lower without expending a spell slot. The spell must be from the cleric or paladin spell list.;;;;;
Anathema's Chains;noxus;Forged in Noxus, these chains may bind even the mightiest foe, turning their own strength against them, a tool for assassins and duelists.;Designate a nemesis to take reduced damage from and deal less damage to your allies.;Curse a creature. They deal -1d4 on attack rolls against the party, and all damage they inflict on the wielder is halved. Save versus spell each dawn to break the chains.;https://wiki.leagueoflegends.com/en-us/images/Anathema%27s_Chains_item.png;As an action, you can target one creature you can see within 30 feet and attempt to bind them with these spectral chains. The target must succeed on a DC 18 Strength saving throw or be restrained. While restrained in this way, the target has vulnerability to all damage dealt by you. At the end of each of its turns, the target can repeat the saving throw, freeing itself on a success. The chains dissipate if you are ever more than 60 feet away from the target or if you are incapacitated.;;;;;
Atma's Reckoning;demacia;Associated with Demacian military, possibly named after a revered general or hero known for resilience and tactical prowess.;Grants attack damage based on a percentage of maximum health, and armor.;Wearer gains +1 to hit for every 10 hit points, and are considered AC 3 vs bludgeoning attacks. Upon dropping to 0 hp or below the wielder may chose to take a level of exhaustion to stay at 1 hp.;https://wiki.leagueoflegends.com/en-us/images/Atma%27s_Reckoning_item.png;This legendary greatsword, once wielded by a celebrated Demacian general, grants its wielder unparalleled resilience. While wielding Atma's Reckoning, you gain a +3 bonus to AC. Additionally, whenever you are reduced to 0 hit points but not killed outright, you can choose to drop to 1 hit point instead. If you do so, the sword absorbs the remaining damage, gaining a cumulative +1 bonus to attack and damage rolls for each 10 points of damage absorbed in this way, up to a maximum of +5. These bonuses last for 1 minute.;;;;;
Ghostcrawlers;shadow isles;Harrowing relics from the Shadow Isles. Grants the wearer the ability to hunt souls.;Provides movement speed and bonus damage when near enemy champions.;Wearer moves at +50% speed toward undead. Deal +1d6 damage to corporeal undead, but suffer -1 on saves vs. incorporeal undead.;https://wiki.leagueoflegends.com/en-us/images/Ghostwalkers_item.png;These spectral boots, crafted from the essence of tormented souls on the Shadow Isles, allow the wearer to tread where the veil between worlds is thin. While wearing Ghostcrawlers, you can cast the Etherealness spell once per long rest. Additionally, you gain advantage on Wisdom (Survival) checks made to track undead creatures and deal an extra 2d6 necrotic damage to undead with your weapon attacks.;;;;;
Guardian's Dirk;noxus;Favored by novice assassins in Noxus. Its dark steel may originate from a mine near the Immortal Bastion, known for imbuing weapons with lethal sharpness.;Grants lethality and attack damage. Passively grants bonus movement speed when out of combat.;Wearer gains +1 to hit and damage rolls against unaware foes. Move silently as a thief 7/10 in wild zones.;https://wiki.leagueoflegends.com/en-us/images/Sanguine_Blade_item_old2.png;This dark steel dagger, a common tool among Noxian assassins, whispers promises of swift and silent demise. You gain a +2 bonus to attack rolls made while hidden. If you hit a creature that is surprised with this dagger, the target must succeed on a DC 15 Constitution saving throw or become poisoned for 1 minute. While poisoned in this way, the target is also paralyzed.;;;;;
Hellfire Hatchet;noxus;Forged in the heart of Noxus, rumored to have been used in dark rituals within the Immortal Bastion. Possibly tied to demonic pacts.;Increases magic damage and provides bonus health regeneration based on mana spent.;User's spells become infused with hellfire (1d6 fire damage). Spending mana heals 1hp, but risks demonic attention (GM roll on excessive use).;https://wiki.leagueoflegends.com/en-us/images/Hellfire_Hatchet_item.png;This wicked-looking handaxe radiates a palpable heat. You gain a +2 bonus to attack and damage rolls made with this magic weapon. In addition, when you hit a creature with this hatchet, it takes an extra 1d6 fire damage. If the target is a creature of good alignment, it takes an extra 2d6 fire damage instead. Once per day, you can speak the hatchet's command word to cause flames to erupt from the blade. For the next minute, any creature that touches the blade or is hit by it takes an additional 1d4 fire damage at the start of each of its turns. This effect ends early if you sheath or drop the hatchet.;;;;;
Juice of Haste;ionia;Associated with Ionian monks seeking enlightenment through heightened reflexes and spiritual clarity. Legends say it enhances connection with the spirit realm.;Grants temporary increased movement speed and attack speed.;Drink and for 1d4 rounds, double movement. Roll a d6. On a 1, the character is confused, believing they are fighting an old enemy.;https://wiki.leagueoflegends.com/en-us/images/Juice_of_Haste_item.png;When you drink this shimmering, ethereal juice, you gain the benefits of the Haste spell for 1 minute (no concentration required). In addition, your Wisdom score increases by 2 for the duration. This increase can exceed your normal maximum. Once the effect ends, you must succeed on a DC 15 Constitution saving throw or suffer one level of exhaustion.;;;;;
Juice of Vitality;ionia;Likely brewed by Ionian monks seeking enlightenment, or perhaps a product of the Spirit Blossom festival's magic.;Restores a small amount of health and mana over a short duration.;Drink and recover 1d4 hit points and 1d4 mana (or equivalent) over the next turn. There is a 1 in 6 chance of vivid hallucinations for 1d3 turns thereafter.;https://wiki.leagueoflegends.com/en-us/images/Juice_of_Vitality_item.png;When you drink this vibrant, life-infused juice, you regain 4d4 + 4 hit points. For the next hour, you have advantage on Constitution saving throws. In addition, if you are reduced to 0 hit points within the next hour, you immediately regain 1 hit point instead, unless you die outright.;;;;;
Perplexity;ionia;Whispers say it's tied to a forgotten Ionian spirit, capable of disrupting the minds of even the most disciplined monks.;Reduces the target's magic resistance and movement speed for a short duration.;Creature suffers -2 to saves vs. mind-affecting spells and moves at half speed for 1d4 rounds. Save vs. Spells negates movement penalty.;https://wiki.leagueoflegends.com/en-us/images/Spellbinder_item.png;While holding this rod, you can use a bonus action to target one creature within 30 feet. The target must succeed on a DC 17 Wisdom saving throw or become bewildered. While bewildered, the creature has disadvantage on attack rolls, ability checks, and saving throws, and another creature has advantage on attack rolls against it. At the end of each of its turns, the target can repeat the saving throw, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to this rod's effect for the next 24 hours.;;;;;
Spectral Cutlass;shadow isles;Forged in the Shadow Isles, it whispers promises of power and oblivion, corrupting the wielder's soul.;Grants lifesteal and an active ability that slows enemies and steals their movement speed.;Wielder heals HP equal to damage dealt by melee attacks. Once per day, target must SAVE vs. Death or suffer -2 to movement for 1d4 rounds. If the SAVE is failed, wielder gains +2 movement for the same duration.;https://wiki.leagueoflegends.com/en-us/images/Spectral_Cutlass_item.png;This shadowy scimitar deals an extra 1d8 necrotic damage on a hit. When you reduce a creature to 0 hit points with this weapon, you gain temporary hit points equal to the creature's Constitution modifier (minimum of 1). These temporary hit points last for 1 hour. However, each time you gain temporary hit points from this weapon, you must succeed on a DC 15 Charisma saving throw or gain one level of exhaustion.;;;;;
Sword of Blossoming Dawn;ionia;Crafted by a forgotten Ionian order, it resonates with the Spirit Blossom Festival, amplifying spiritual connections and ancestral echoes.;Heals allies and empowers attacks after casting your ultimate.;Upon uttering a prayer with this sword, restore 1d6 hit points to the nearest ally. For the next round, your attacks deal +1 damage and spirits whisper warnings, granting +1 to AC.;https://wiki.leagueoflegends.com/en-us/images/Sword_of_Blossoming_Dawn_item.png;This longsword deals an extra 1d6 radiant damage to undead and fiends. While attuned to this weapon, you can cast the 'speak with dead' spell once per day without using a spell slot. Additionally, you have advantage on Wisdom (Insight) checks when interacting with spirits or creatures from the Feywild.;;;;;
Wooglet's Witchcap;ionia;Favored by Ionian mages, rumored to enhance natural magic. Some believe it once belonged to a powerful spirit.;Grants Ability Power. Upon taking fatal damage, become untargetable and invulnerable for a short duration.;"Wearer gains +3 to magic damage rolls. Once per day, when reduced to 0 hp, become ethereal for 1d4 rounds; attacks pass through, but wearer cannot act.";https://wiki.leagueoflegends.com/en-us/images/Wooglet%27s_Witchcap_item.png;While wearing this hat, you gain a +2 bonus to spell attack rolls and spell save DC. Additionally, once per day, when you cast a spell of 3rd level or lower, you can cast it as if using a spell slot one level higher.;;;;;
Abyssal Scepter;freljord;Said to resonate with the raw magic of the Freljord, amplifying the wielder's power and weakening magical defenses.;Grants magic resist and reduces magic resist of nearby enemies.;Creatures within 20' suffer -2 to saves versus magic. Wielder gains +2 to saves versus magic, negating magic missiles outright on a successful save. A palpable hum emanates when near the magically sensitive.;https://wiki.leagueoflegends.com/en-us/images/Abyssal_Scepter_item.png;This scepter has 7 charges. While holding it, you can use an action to expend 1 or more charges to create a 20-foot-radius sphere centered on a point you can see within 60 feet. Each creature in that area has disadvantage on saving throws against spells you cast. This effect lasts for 1 minute or until you lose concentration (as if concentrating on a spell). The DC to maintain concentration is 10, and for each charge you maintain concentration beyond the first round, the DC increases by 2. The scepter regains 1d6+1 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the scepter crumbles into dust and is destroyed.;;;;;
Aegis of the Legion;demacia;Symbol of the Dauntless Vanguard, it bolsters nearby allies. Bearer is emboldened by a golden glow and gains unnatural resilience.;Nearby allies gain magic resist and armor. Grants the user bonus armor, magic resist, and ability haste.;Confers +1 to saves vs. spells and +1 AC to self and allies within 30'. Upon a critical failure, the Aegis shatters, losing its magical properties.;https://wiki.leagueoflegends.com/en-us/images/Aegis_of_the_Legion_item.png;While holding this shield, you and friendly creatures within 10 feet of you gain a +1 bonus to AC and saving throws. This bonus increases to +2 at level 10 and +3 at level 15. Additionally, as a reaction when a friendly creature within 30 feet of you is hit by an attack, you can grant that creature resistance to the damage dealt by the attack. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.;;;;;
Ancient Coin;shurima;Likely originated in Shurima, where currency was tied to celestial favor and desert survival.;Periodically grants gold and mana upon nearby enemy minion death.;Upon receiving this coin, roll a d6. On a 1, attract unwanted spirits. On a 6, gain advantage on a future saving throw against starvation or thirst.;https://wiki.leagueoflegends.com/en-us/images/Ancient_Coin_item.png;This coin, likely originating from Shurima, feels warm to the touch and depicts imagery of the sun and desert. As an action, you can flip the coin. On a heads, for the next minute, you have advantage on saving throws against being charmed or frightened. On a tails, you can summon enough water to fill a single waterskin. Once the coin is flipped, it cannot be flipped again until the next dawn.;;;;;
Arcane Helix;ionia;The Arcane Helix hums with Ionian spirit magic, resonating with the land's ancient energies and possibly influencing spirit blossom festivals.;Periodically empowers the next attack, dealing bonus magic damage and healing the user.;Heal 1d4 hp and deal 1d4 arcane damage on a successful melee attack. Must recharge for 1 turn after use, leaving you vulnerable.;https://wiki.leagueoflegends.com/en-us/images/Arcane_Helix_item.png;This intricate helix pulses with arcane energy, resonating with the wild magic of the Feywild. While holding the helix, you gain advantage on Intelligence (Arcana) checks related to the Feywild or spirits. As an action, you can expend 1 charge to cast the 'faerie fire' spell (save DC 15). The helix has 3 charges and regains 1d3 expended charges daily at dawn.;;;;;
Archangel's Staff;ionia;Favored by Ionian monks seeking enlightenment, the staff amplifies inner energies. It is rumored to resonate with the spirit realm.;Grants mana, ability power, and mana regeneration, converting mana into additional ability power.;The wielder's spells are louder and brighter. Failed spellcasting risks summoning an imp from the outer planes. Spending mana risks a point of fatigue.;https://wiki.leagueoflegends.com/en-us/images/Archangel%27s_Staff_%28Quick_Charge%29_item.png;This staff, crafted from a light, resonant wood, seems to hum with spiritual energy. While holding this staff, you gain a +2 bonus to spell attack rolls and spell save DCs. Additionally, once per long rest, when you cast a spell of 1st level or higher, you can regain a number of hit points equal to the spell's level.;;;;;
Athene's Unholy Grail;targon;Said to be blessed by the celestial Aspect of Magic, granting its wielder immense magical power and spiritual insight.;Grants mana regen, AP, and MR. Provides bonus healing/shielding based on damage dealt.;Wielder gains +2 to WIS saves vs. enchantment. Healing spells also grant a shield equal to damage dealt, but makes the wielder vulnerable to psychic attack if the target is evil.;https://wiki.leagueoflegends.com/en-us/images/Athene%27s_Unholy_Grail_item.png;While holding this unholy grail, you gain a +3 bonus to spell attack rolls and spell save DC. Additionally, when you cast a spell of 1st level or higher that restores hit points to a creature, you regain a number of hit points equal to half the spell's level + your spellcasting ability modifier.;;;;;
Augment: Death;noxus;Associated with the Black Rose, granting its user immense power, but at a terrible cost. Could be related to forbidden hemomancy rituals.;Increases ability power and grants bonus damage to low-health enemies, amplifying kill potential.;On a hit, if the target has less than 2 HD, they must save versus death or die. The wielder loses 1 max HP permanently after each usage.;https://wiki.leagueoflegends.com/en-us/images/Augment-_Death_item.png;When you cast a necromancy spell of 1st level or higher, roll a d6. On a 1, you take necrotic damage equal to the spell's level. Otherwise, the spell's damage or healing is increased by 2 for each of its dice and the range of the spell is doubled. This augment functions once per long rest.;;;;;
Augment: Power;targon;Potentially created by a forgotten aspect of Targon, granting immense arcane power. It's linked to celestial beings enhancing mortals.;Abilities deal bonus damage. Grants Ability Power on champion level up. Provides bonus magic damage.;Grants the user temporary access to the celestial realm. 1-in-6 chance of attracting the attention of a powerful entity, resulting in a boon or a curse.;https://wiki.leagueoflegends.com/en-us/images/Augment-_Power_item.png;This celestial augment grants you advantage on Intelligence (Arcana) checks. As an action, you can expend a spell slot to gain a number of arcane power dice (d4s) equal to the spell slot's level +1. For the next minute, once per turn, you can add one of these dice to an attack roll, saving throw, or ability check. Any unused dice are lost when the minute ends.;;;;;
Bag of Tea;ionia;Associated with Ionian monasteries, used for meditation and healing rituals. Perhaps a connection to the Kinkou Order or the Wuju Style.;Restores a small amount of health and mana over time. Grants temporary bonus to magic resistance.;Drink: Restore 1d4 hit points and 1d4 mana points. Advantage on saves vs. enchantment spells for 1 turn. Tea leaves can be used to detect poison in food/drink (6 in 6 chance).;https://wiki.leagueoflegends.com/en-us/images/Bag_of_Tea_item.png;This bag contains rare Ionian tea leaves, imbued with subtle healing properties. As an action, you can brew a cup of tea and drink it. Doing so restores 2d4 hit points and grants advantage on Wisdom saving throws for 1 hour. The bag contains enough tea for 5 uses.;;;;;
Bilgewater Cutlass;bilgewater;A common sidearm in Bilgewater, often enchanted for extra punch. Used by bounty hunters and gang members alike.;Deals damage and slows a target champion. Grants some lifesteal on hit.;On a hit, target must make a DC 13 Fortitude save or be slowed for 1 round. User heals 1d4 hit points when dealing damage with the blade.;https://wiki.leagueoflegends.com/en-us/images/Bilgewater_Cutlass_item.png;This cutlass, common in Bilgewater, is a magic weapon that grants a +1 bonus to attack and damage rolls. When you hit a creature with this weapon, you can expend one of its charges to deal an extra 2d6 necrotic damage. The cutlass has 3 charges and regains 1d3 expended charges daily at dawn.;;;;;
Blink Dagger;ionia;Favored by Ionian monks and assassins, the Blink Dagger is rumored to be crafted with magic allowing for short-range teleportation.;Instantly blink a short distance. Cannot be used for a few seconds after taking damage.;"Upon command, user vanishes and reappears up to 30' away. A strong blow disrupts the magic; user must SAVE vs. Spells or ability fails and renders them stunned for 1 round.";https://wiki.leagueoflegends.com/en-us/images/Blink_Dagger_item.png;As an action, you can activate this dagger to teleport up to 30 feet to an unoccupied space you can see. The dagger can be used in this way three times, and regains all expended uses at dawn. If you are wearing light or no armor, the range of the teleport increases to 60 feet.;;;;;
Bloodward;noxus;"Forged in Noxus, rumored to contain blood magic, grants the wielder a shield based on damage dealt; possibly connected to Vladimir.";Grants a shield based on damage dealt to enemy champions. Provides attack damage and lifesteal.;Upon striking a foe, gain temporary HP. This HP vanishes quickly. Save vs. Death when HP is reduced to 0, gain a lesser effect instead.;https://wiki.leagueoflegends.com/en-us/images/Bloodward_item.png;While holding this shield, you gain a +2 bonus to AC. Whenever you deal damage to a creature with a melee attack, you gain temporary hit points equal to the damage dealt, up to a maximum of 15. These temporary hit points last for 1 minute. Once the shield grants temporary hit points, it can't do so again until the next dawn.;;;;;
Bonetooth Necklace;noxus;Favored by assassins. The necklace is rumored to contain the souls of those Rengar has hunted. Thus, it's influence waxes and wanes with each kill.;Grants bonus attack damage and movement speed upon takedowns. Upgrades with more kills.;Confers +1 to hit and damage rolls against creatures of the slain type. Further, wearer adds +1 to speed factor for each kill. However, should the wearer be slain, their soul is forfeit.;https://wiki.leagueoflegends.com/en-us/images/Rengar_Bonetooth_Necklace_old.png;This necklace has 3 charges and regains 1d3 expended charges daily at dawn. When you reduce a creature to 0 hit points with an attack, you can expend 1 charge to gain one of the following benefits: Advantage on your next attack roll against a creature, Resistance to one damage type until the end of your next turn, or increase your speed by 10 feet until the end of your next turn.;;;;;
Boots of Speed;ionia;Simple footwear, common across Runeterra. But in Ionia, some believe even the road you walk shapes your destiny.;Slightly increased movement speed.;Wearer's base movement is increased by 20'. Decrease encounter distance by 1d4 x 10' due to increased travel speed. Save vs. surprise on even-numbered turns.;https://wiki.leagueoflegends.com/en-us/images/Boots_of_Speed_item.png;While wearing these boots, your walking speed increases by 5 feet. Additionally, you have advantage on Dexterity saving throws against effects that would reduce your speed.;;;;;
Breathstealer;noxus;Likely crafted by a Hemomancer in Noxus, perhaps to sustain their power in combat, or to drain power from the enemies in order to grant it to its wielder.;Damaging champions heals you. Healing is increased based on missing health. Grants attack damage and ability haste.;On a successful hit, recover 1d4 hit points. If below half hit points, recover 1d6 instead. The wielder gains +2 on attack rolls and initiative.;https://wiki.leagueoflegends.com/en-us/images/Breathstealer_item.png;Weapon (any), very rare (requires attunement). While wielding this weapon, you can use a bonus action to target one creature within 30 feet. The target must succeed on a DC 15 Constitution saving throw or take 2d6 necrotic damage, and you regain hit points equal to the necrotic damage dealt. You can use this ability a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.;;;;;
Bulwark of the Mountain;targon;Forged on Targon, it is said to protect against celestial wrath, favored by the Solari for its protective properties.;Grants health, armor, magic resist, and damage reduction for nearby allies upon taking damage.;Wearer gains +3 to AC. When struck, allies within 10' gain +1 AC against the same attack type until the end of their next turn. Mountain's wrath lingers!;https://wiki.leagueoflegends.com/en-us/images/Bulwark_of_the_Mountain_item.png;Shield, very rare (requires attunement). While holding this shield, you have resistance to radiant damage and your AC increases by 2. As a reaction when you or a creature within 30 feet of you is targeted by a spell or effect that deals radiant damage, you can grant advantage on the saving throw against that effect.;;;;;
Captain;bilgewater;Favored by ambitious captains, this trinket whispers promises of swift voyages and plunder from distant shores.;Increases movement speed out of combat. Grants temporary movement speed boost when near turrets.;Wearer moves swiftly when not threatened. Nearby friendly structures hasten the wearer's advance for one turn, but cannot move in the subsequent round.;https://wiki.leagueoflegends.com/en-us/images/Captain_item.png;Wondrous item, rare (requires attunement). While attuned to this trinket, you have advantage on Wisdom (Survival) checks made to navigate at sea. Additionally, you can cast the spell 'Control Water' once per day. When you cast Control Water using this item, you can only choose to create a whirlpool or part the sea. You regain the ability to cast Control Water in this way at dawn.;;;;;
Ceaseless Hunger;noxus;Associated with the Crimson Circle, a secret society within Noxus known for their hemomancy and blood rituals.;Provides omnivamp and bonus attack damage that scales with missing health.;"Wearer gains HP on a hit; below 50% HP, deal +1d6 damage. On a critical hit, regain 1d4 lost HP. But at 0 HP, you must continue to feed the item!";https://wiki.leagueoflegends.com/en-us/images/Ceaseless_Hunger_item.png;While attuned to this weapon, whenever you reduce a creature to 0 hit points with it, you gain temporary hit points equal to your level. Additionally, you can cast the *Vampiric Touch* spell at 3rd level once per long rest without requiring material components. The weapon deals an extra 1d6 necrotic damage on a hit if you are below half your maximum hit points.;;;;;
Certainty;ionia;Crafted by Ionian monks seeking inner peace, it's rumored to be associated with the spirit realm and moments of perfect clarity.;Grants temporary immunity to crowd control effects and reduces incoming damage for a short duration.;Negates all incoming hostile magic. The wielder is filled with unnatural speed as if blessed by the wind spirit. If wearing heavy armor, the next round's speed stat is treated as if unarmored.;https://wiki.leagueoflegends.com/en-us/images/Certainty_item.png;This item grants advantage on Wisdom (Insight) checks and Intelligence (Investigation) checks. Once per long rest, as an action, you can enter a meditative state for 1 minute. During this time, you gain truesight out to a range of 30 feet and resistance to psychic damage. Maintaining this state requires concentration, as if concentrating on a spell.;;;;;
Chalice of Harmony;targon;Forged atop Mount Targon, it resonates with celestial energies, offering solace and balance to its wielder, reminiscent of the Aspect of Harmony.;Restores mana based on health spent, providing sustain in lane.;Grants advantage on saves vs. magical effects. Once per day, regain 1d6 lost hit points per level if your hit points are below half.;https://wiki.leagueoflegends.com/en-us/images/Chalice_of_Harmony_item.png;While holding this chalice, you have advantage on saving throws against being charmed or frightened. As an action, you can pour liquid into the chalice and imbue it with celestial energy. The next creature to drink the liquid gains the benefit of a *Greater Restoration* spell. Once used, this property of the chalice cannot be used again until the next dawn.;;;;;
Cinderhulk;noxus;Forged in the heart of Noxus, rumored to be quenched in the blood of conquered foes, it imbues its wearer with burning strength.;"Immolate aura burns nearby enemies; bonus health and increased size. Damage scales with bonus health.";Creatures striking the wearer take 1d4 fire damage. +1 to saves vs. cold. The wearer counts as one size larger for grappling and intimidation.;https://wiki.leagueoflegends.com/en-us/images/Juggernaut_item.png;While wearing this armor, you have resistance to fire damage. As an action, you can unleash a wave of heat in a 15-foot cone. Each creature in that area must make a DC 15 Constitution saving throw, taking 4d6 fire damage on a failed save, or half as much damage on a successful one. Once you use this ability, you can't use it again until the next dawn.;;;;;
Cloak and Dagger;ionia;Whispers say a master Ionian shadow dancer crafted these. Some link it to the conflicts surrounding the Kinkou Order.;Grants bonus attack damage and movement speed after dealing damage, enhancing burst potential and mobility.;Wearer gains +1 to Surprise. On successful attack, move unseen to any location within line of sight, leaving no trace. If the attack misses, user is revealed.;https://wiki.leagueoflegends.com/en-us/images/Cloak_and_Dagger_item.png;While wearing the cloak, you have advantage on Dexterity (Stealth) checks made in dim light or darkness. The dagger is a +1 weapon. As a bonus action, you can teleport to an unoccupied space within 30 feet, leaving behind a shadowy image of yourself that lasts until the start of your next turn. Once you use this ability, you cannot do so again until you complete a short or long rest.;;;;;
Corrupting Potion;noxus;Favored by Noxian assassins and those who delve into forbidden alchemy, it grants the drinker a temporary edge at a terrible price.;Consuming this potion grants health and mana over time and adds bonus damage to attacks and spells.;Upon drinking, roll a d6. On a 1, gain a point of corruption. At 6 corruption, character becomes an NPC under DM control. Grants +2 to attack rolls for 1d4 turns, regain 1d8 lost HP.;https://wiki.leagueoflegends.com/en-us/images/Corrupting_Potion_item.png;When you drink this potion, you regain 2d4+2 hit points, and you gain advantage on your next attack roll or saving throw within the next minute. For the next hour, you have disadvantage on Constitution saving throws and your maximum hit points are reduced by 5.;;;;;
Cry of the Shrieking City;shurima;Whispers suggest the city's fall was due to a powerful Void incursion, leaving behind only echoes and this unsettling artifact.;Periodically unleash a wave of damage that slows enemies.;Once per day, emit a sonic blast. Save vs. Magic or be slowed for 1d4 turns. Undead are immune. Those slain by this item become husks.;https://wiki.leagueoflegends.com/en-us/images/Cry_of_the_Shrieking_City_item.png;This ancient Shuriman artifact hums with suppressed Void energy. While holding it, you can use an action to unleash a piercing shriek, forcing each creature within 30 feet to make a DC 15 Wisdom saving throw or be frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Once used, this property cannot be used again until the next dawn.;;;;;
Dark Matter Scythe;shadow isles;Crafted with dark magic in the Shadow Isles, it is said to corrupt the wielder, drawing power from the souls of the dead.;Deals magic damage and grants bonus movement speed and stacking magic penetration upon hitting an enemy champion.;Suffer 1d4 Sanity when equipped. Each hit drains 1 HP from target, granting the wielder +1 temp HP and +1 to hit rolls against that foe for 1 turn. ;https://wiki.leagueoflegends.com/en-us/images/Dark_Matter_Scythe_item.png;"This scythe pulses with necrotic energy, its touch chilling and corrupting. You gain a +2 bonus to attack and damage rolls made with this magic weapon. When you reduce a creature to 0 hit points with this scythe, you gain temporary hit points equal to the creature's challenge rating (minimum of 1) for 1 minute. While you possess temporary hit points granted by this weapon, your alignment shifts one step closer to Chaotic Evil. This shift is subtle but cumulative; prolonged use may result in permanent alignment change at the DM's discretion.";;;;;
